,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020
Nacional,5,14,14,11,20,26,17,59,26,48,65,40,49,70,110,132,131,145,101,121,163,132,178,202,253,296,346,396,260,403,375,442,353,385,448,450,578,622,764,511,729,1043,1089,1239,970,835,852,1223
Aguascalientes,0,0,0,1,0,0,1,2,0,0,0,2,0,6,1,6,0,5,0,12,0,11,1,1,0,0,4,0,0,0,2,0,0,10,0,6,6,0,3,0,0,19,6,40,1,2,13,6
Baja California,0,0,0,0,0,2,0,1,1,4,3,0,2,1,5,1,0,3,4,8,2,3,12,2,15,42,25,89,14,19,20,57,33,44,52,41,31,74,70,61,174,77,91,81,42,80,30,94
Baja California Sur,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,2,0,2,2,4,1,1,2,6,1,26,2,12,0,17,17,18,33,11,1,1,3,4,20,12,23,12,1,6,19,19,1,7
Campeche,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,1,2,0,1,5,0,0,1,3,1,10,4,10,2,2,9,1,6,4,3,0,13,4,7,9,11
Chiapas,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,4,1,2,1,1,3,1,6,1,2,4,2,4,1,4,0,2,3,6,4,4,5,1,7,8,12,5,14,4,10,9
Chihuahua,0,0,0,0,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,1,4,0,1,1,2,7,0,7,13,12,0,7,6,2,14,25,7,16,17,4,3,21,18,19,28,18,13,43
Ciudad de Mexico,1,5,6,1,0,3,0,10,0,14,11,4,6,16,1,24,70,19,9,29,62,31,57,85,91,49,114,132,54,131,77,211,109,119,130,142,252,219,292,119,147,430,398,433,313,229,227,374
Coahuila,0,0,0,0,0,0,0,0,0,2,7,2,0,0,1,1,1,17,7,5,13,5,8,2,10,20,7,13,7,14,13,1,19,18,1,19,3,15,5,17,12,13,11,22,24,8,10,10
Colima,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,1,0,3,0,1,0,1,2,5,2
Durango,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,2,2,0,3,0,1,0,0,0,0,-1,1,1,2,0,2,1,8,3,6,2,2,2,1,11
Guanajuato,0,0,0,2,0,2,0,0,0,0,0,3,5,7,4,8,6,0,6,3,3,1,2,1,0,5,3,6,4,7,3,1,6,2,1,5,17,3,17,17,8,15,9,10,6,8,9,4
Guerrero,0,0,0,0,2,0,0,2,0,0,0,0,2,1,0,0,3,3,0,2,2,5,2,1,5,2,5,10,2,5,2,14,7,11,9,3,10,0,11,5,0,11,20,8,6,22,14,25
Hidalgo,0,0,0,0,0,0,0,2,0,1,2,0,2,0,5,0,0,5,0,2,2,5,4,2,2,1,6,5,1,4,2,5,0,6,0,3,3,5,12,5,14,7,2,29,11,19,8,36
Jalisco,0,0,2,0,0,5,0,20,1,4,9,5,0,0,18,13,5,1,7,4,5,5,12,4,3,3,9,4,0,5,6,6,3,6,11,2,12,6,2,18,10,10,20,7,8,11,21,13
Michoacan,0,0,0,0,0,0,0,0,0,0,3,5,0,2,1,5,1,0,0,4,3,0,0,5,1,3,1,2,10,0,4,11,1,5,3,14,15,8,8,12,12,7,22,11,16,15,9,39
Morelos,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,1,2,0,3,2,1,2,7,2,9,0,5,4,5,4,3,2,15,4,5,3,4,7,16,23,23,20,3,48
Mexico,1,2,0,2,0,3,1,0,4,0,8,0,0,5,20,24,15,34,17,13,8,14,6,3,24,57,59,34,45,71,28,25,35,44,57,36,59,32,91,24,112,144,88,200,163,86,59,213
Nayarit,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,2,0,0,1,0,1,0,2,4,3,2,1,3,0,2,2,2,2,2,2,4,2,6,2,2,4,1,3
Nuevo Leon,0,1,2,1,7,2,5,6,4,3,3,13,4,0,5,7,0,3,8,1,2,6,1,3,3,2,0,5,9,3,9,5,8,4,14,9,0,13,12,18,1,18,38,11,12,5,8,15
Oaxaca,0,0,2,0,0,0,0,0,0,0,1,0,2,3,1,3,1,2,0,0,8,0,0,0,3,2,8,2,3,1,2,0,1,2,4,3,3,6,1,6,3,8,6,1,15,3,11,3
Puebla,1,1,2,2,3,1,0,2,2,2,0,0,6,12,11,6,1,14,10,5,16,3,9,16,22,9,23,4,15,16,29,13,13,7,15,14,9,16,22,8,22,4,29,41,30,28,42,30
Queretaro,1,2,0,0,2,1,0,2,2,3,0,0,2,2,3,2,2,1,1,2,0,3,3,1,2,2,5,2,3,5,2,4,0,4,4,7,2,1,2,4,3,3,3,10,6,2,11,2
Quintana Roo,0,1,0,0,3,0,2,0,5,1,0,10,0,0,7,0,4,5,5,4,4,5,9,10,11,29,20,8,16,4,53,7,16,6,24,7,4,35,7,38,33,33,35,50,29,53,50,45
San Luis Potosi,0,1,0,1,0,1,4,0,0,2,3,0,4,1,1,1,1,4,1,0,6,2,2,0,2,0,4,2,4,1,3,2,2,0,1,0,2,1,4,3,1,1,5,0,3,3,5,1
Sinaloa,0,0,0,1,0,0,0,1,0,0,1,0,2,0,5,0,5,5,5,3,5,10,9,23,16,7,14,14,13,33,43,15,16,16,31,35,47,39,46,27,24,60,46,76,19,39,48,8
Sonora,0,0,0,0,0,0,0,2,0,0,2,0,2,0,3,1,2,4,3,0,1,3,1,5,1,2,5,11,2,7,10,4,3,1,5,11,8,11,9,0,-3,8,5,11,-3,9,15,4
Tabasco,0,0,0,0,0,0,1,0,1,2,1,0,1,0,11,4,6,6,5,10,4,10,11,10,14,10,1,4,1,21,9,10,3,39,15,23,17,28,57,62,70,37,88,52,56,21,91,73
Tamaulipas,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,4,3,4,6,5,1,11,3,2,1,4,0,2,5,18,13,26,10,7,11,21,25,14,12,45,26,8
Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,3,1,2,3,4,5,6,5,4,2,9,2,7,4,5,5,4,2,6,15,8,11,15,7,5,23
Veracruz,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,10,6,1,2,1,1,1,6,2,3,1,5,3,5,9,10,5,4,12,12,6,9,3,22,10,9,30,35,38,31,35,68,36
Yucatan,0,1,0,0,0,4,0,8,0,1,5,0,5,5,3,4,2,3,5,3,3,1,6,3,5,5,2,0,14,0,15,4,7,2,12,3,9,32,4,15,3,5,35,10,55,22,29,25
Zacatecas,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,3,0,-1,1,1,0,3,0,1,1,1,1,0,5,4,0,4,1,11,4,3,7,7,0,2
